model,heldout,feature,importance
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_rna_max_min,0.0026299623513194926
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_rna_coverage_05,0.037379423401936965
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_protein_coverage_05,0.017934778062781254
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pr_high_contacts_per_nt,0.023541020586179247
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal4_per_res,0.05659987549916636
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal4_high_per_res,0.19655074889028074
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal12_per_res,0.0839307400951807
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal12_high_per_res,0.17594785051659817
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal24_per_res,0.051263224281382296
CP_summary14_RF,puf12_r123_r5678_r5loop6788,pp_nonlocal24_high_per_res,0.21291261764617184
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_cp_sum,0.03426028896197702
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_cp_per_nt,0.023276705452890803
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_top20_mean,0.016187710322642147
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_rna_max_mean,0.05137056011538454
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_rna_max_min,0.01038682359635376
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_rna_coverage_05,0.04045577168786191
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_protein_coverage_05,0.03339424438592654
CP_summary14_RF,puf12_r123_r567_r567_r678,pr_high_contacts_per_nt,0.03216148846929224
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal4_per_res,0.0623796569885493
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal4_high_per_res,0.20244030282920858
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal12_per_res,0.08077567807735803
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal12_high_per_res,0.1782939841858527
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal24_per_res,0.044897096457034054
CP_summary14_RF,puf12_r123_r567_r567_r678,pp_nonlocal24_high_per_res,0.18971968846966822
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_cp_sum,0.022824280120986248
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_cp_per_nt,0.01877885365720384
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_top20_mean,0.025606711866708074
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_rna_max_mean,0.10788702831753441
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_rna_max_min,0.0014567387587084493
CP_summary14_RF,puf12_r123_r567_r5loop67_loopr678,pr_rna_coverage_05,0.0731178531211084
