C388_threshold,equivalent_cutoff_lower_exclusive,equivalent_cutoff_upper_inclusive,n_work,n_nonwork,model,validation,objective,AUC,majority_accuracy,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_RF,mutation_group_out,accuracy,0.5833333333333333,0.8709677419354839,0.0,0.8709677419354839,0.5,27.0,0.0,4.0,0.0,0.5
0.25,0.23336,0.2532999999999999,27,4,CP_Structure9_RF,mutation_group_out,balanced_accuracy,0.5833333333333333,0.8709677419354839,0.6624077621620135,0.6774193548387096,0.7083333333333333,18.0,3.0,1.0,9.0,0.16240776216201347
0.3,0.2532999999999999,0.32484,26,5,CP3_LR,LOCO,accuracy,0.5692307692307692,0.8387096774193549,0.0,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.5
0.3,0.2532999999999999,0.32484,26,5,CP3_LR,LOCO,balanced_accuracy,0.5692307692307692,0.8387096774193549,0.4672065455527016,0.7741935483870968,0.7038461538461538,21.0,3.0,2.0,5.0,0.03279345444729842
0.3,0.2532999999999999,0.32484,26,5,CP3_LR,mutation_group_out,accuracy,0.5,0.8387096774193549,0.0,0.8387096774193549,0.5,26.0,0.0,5.0,0.0,0.5
0.3,0.2532999999999999,0.32484,26,5,CP3_LR,mutation_group_out,balanced_accuracy,0.5,0.8387096774193549,0.46804942324890997,0.7419354838709677,0.6038461538461539,21.0,2.0,3.0,5.0,0.03195057675109003
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_LR,LOCO,accuracy,0.7384615384615385,0.8387096774193549,0.3763857103576149,0.9032258064516129,0.7,26.0,2.0,3.0,0.0,0.12361428964238508
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_LR,LOCO,balanced_accuracy,0.7384615384615385,0.8387096774193549,0.5,0.7096774193548387,0.7461538461538462,18.0,4.0,1.0,8.0,0.0
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_LR,mutation_group_out,accuracy,0.7,0.8387096774193549,0.22256470326819439,0.8709677419354839,0.6,26.0,1.0,4.0,0.0,0.2774352967318056
0.3,0.2532999999999999,0.32484,26,5,CP_Structure9_LR,mutation_group_out,balanced_accuracy,0.7,0.8387096774193549,0.5,0.6774193548387096,0.726923076923077,17.0,4.0,1.0,9.0,0.0
