family,threshold_pp,stage,representation,model,n,weighted_n,accuracy,balanced_accuracy,macro_F1,MCC,n_classes_observed,precision_decrease,recall_decrease,F1_decrease,support_decrease,ROC_AUC_decrease,AP_decrease,precision_unchanged,recall_unchanged,F1_unchanged,support_unchanged,ROC_AUC_unchanged,AP_unchanged,specificity,false_negative_rate,ROC_AUC,AP,cm_0_0,cm_0_1,cm_1_0,cm_1_1
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|250|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|all|0|variance|0.5|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5229696472518457,0.5225937183383992,0.04540240741992236,2,0.7115384615384616,0.6981132075471698,0.7047619047619048,53.0,0.48318293683347,0.7006548247529497,0.3333333333333333,0.34782608695652173,0.3404255319148936,23.0,0.4831829368334701,0.3217719542384837,0.34782608695652173,0.30188679245283023,0.48318293683347,0.7006548247529497,37.0,16.0,15.0,8.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|250|0|variance|0.5|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5229696472518457,0.5225937183383992,0.04540240741992236,2,0.7115384615384616,0.6981132075471698,0.7047619047619048,53.0,0.48318293683347,0.7006548247529497,0.3333333333333333,0.34782608695652173,0.3404255319148936,23.0,0.4831829368334701,0.3217719542384837,0.34782608695652173,0.30188679245283023,0.48318293683347,0.7006548247529497,37.0,16.0,15.0,8.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|all|0|variance|0.8|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6052631578947368,0.5200984413453651,0.5202020202020202,0.04129554813742479,2,0.7090909090909091,0.7358490566037735,0.7222222222222222,53.0,0.49548810500410173,0.6989061577795923,0.3333333333333333,0.30434782608695654,0.3181818181818182,23.0,0.49548810500410173,0.33360006308119206,0.30434782608695654,0.26415094339622647,0.49548810500410173,0.6989061577795923,39.0,14.0,16.0,7.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|250|0|variance|0.8|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.6052631578947368,0.5200984413453651,0.5202020202020202,0.04129554813742479,2,0.7090909090909091,0.7358490566037735,0.7222222222222222,53.0,0.49548810500410173,0.6989061577795923,0.3333333333333333,0.30434782608695654,0.3181818181818182,23.0,0.49548810500410173,0.33360006308119206,0.30434782608695654,0.26415094339622647,0.49548810500410173,0.6989061577795923,39.0,14.0,16.0,7.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|25|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5263157894736842,0.5250205086136177,0.5043478260869565,0.045993326000985844,2,0.717948717948718,0.5283018867924528,0.6086956521739131,53.0,0.5020508613617719,0.7002645170930387,0.32432432432432434,0.5217391304347826,0.4,23.0,0.5020508613617719,0.31576977143945895,0.5217391304347826,0.4716981132075472,0.5020508613617719,0.7002645170930387,28.0,25.0,11.0,12.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|100|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|raw|1000|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|delta|all|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|delta|250|0|variance|0.2|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5352748154224775,0.5331880324945513,0.06831639206755422,2,0.72,0.6792452830188679,0.6990291262135923,53.0,0.5783429040196882,0.7592199096182066,0.34615384615384615,0.391304347826087,0.3673469387755102,23.0,0.5783429040196882,0.4013496328609344,0.391304347826087,0.3207547169811321,0.5783429040196882,0.7592199096182066,36.0,17.0,14.0,9.0
RNA_protein_interface,-7.5,screen,PR_reference_interface|delta|all|0|variance|0.5|False,"{""algorithm"": ""Ridge"", ""alpha"": 1.0, ""class_weight"": ""balanced""}",76,76.0,0.5921052631578947,0.5229696472518457,0.5225937183383992,0.04540240741992236,2,0.7115384615384616,0.6981132075471698,0.7047619047619048,53.0,0.48318293683347,0.7006548247529497,0.3333333333333333,0.34782608695652173,0.3404255319148936,23.0,0.4831829368334701,0.3217719542384837,0.34782608695652173,0.30188679245283023,0.48318293683347,0.7006548247529497,37.0,16.0,15.0,8.0
