site,label_threshold_delta_pp,equivalent_delta_lower_exclusive_pp,equivalent_delta_upper_inclusive_pp,model,n_high,n_low,AUC,BA_fixed_score05,score_threshold,BA,accuracy,sensitivity,specificity,TN,FP,FN,TP
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,S4_S12_S24_LR,18,12,0.6759259259259259,0.6666666666666666,0.5273484677369902,0.7222222222222223,0.7,0.6111111111111112,0.8333333333333334,10,2,7,11
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,Repository_LR,18,12,0.7407407407407407,0.6527777777777778,0.5491671523880095,0.7638888888888888,0.7333333333333333,0.6111111111111112,0.9166666666666666,11,1,7,11
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,ContactSeek_Top3_RF,18,12,0.7314814814814815,0.6527777777777778,0.4684422495312366,0.7083333333333334,0.7333333333333333,0.8333333333333334,0.5833333333333334,7,5,3,15
C388,-16.974750000000014,-17.01750000000002,-16.93200000000001,ContactSeek_CCR_RF,18,12,0.6157407407407407,0.5416666666666666,0.6718489031109625,0.7222222222222223,0.7,0.6111111111111112,0.8333333333333334,10,2,7,11
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,Total_CP_LR,17,13,0.25791855203619907,0.47737556561085975,0.5033589884403236,0.5158371040723982,0.5333333333333333,0.6470588235294118,0.38461538461538464,5,8,6,11
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,Interface_CP_LR,17,13,0.5701357466063348,0.4072398190045249,0.47273488272222985,0.6334841628959276,0.6666666666666666,0.8823529411764706,0.38461538461538464,5,8,2,15
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,S4_S12_S24_LR,17,13,0.5248868778280542,0.5723981900452488,0.4699513794957057,0.5746606334841629,0.6,0.7647058823529411,0.38461538461538464,5,8,4,13
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,Repository_LR,17,13,0.6606334841628959,0.660633484162896,0.5161726742322612,0.7081447963800905,0.7,0.6470588235294118,0.7692307692307693,10,3,6,11
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,ContactSeek_Top3_RF,17,13,0.7692307692307693,0.660633484162896,0.5556950886689109,0.746606334841629,0.7333333333333333,0.6470588235294118,0.8461538461538461,11,2,6,11
C388,-16.053000000000008,-16.93200000000001,-15.174000000000008,ContactSeek_CCR_RF,17,13,0.5701357466063348,0.5339366515837104,0.6446967291267673,0.6583710407239819,0.6333333333333333,0.47058823529411764,0.8461538461538461,11,2,9,8
C388,-13.108250000000002,-13.439500000000002,-12.777,Total_CP_LR,15,15,0.0,0.03333333333333333,0.0,0.5,0.5,1.0,0.0,0,15,0,15
C388,-13.108250000000002,-13.439500000000002,-12.777,Interface_CP_LR,15,15,0.4977777777777778,0.6333333333333333,0.5,0.6333333333333333,0.6333333333333333,0.4666666666666667,0.8,12,3,8,7
C388,-13.108250000000002,-13.439500000000002,-12.777,S4_S12_S24_LR,15,15,0.5511111111111111,0.5666666666666667,0.5265309229876713,0.6000000000000001,0.6,0.4,0.8,12,3,9,6
C388,-13.108250000000002,-13.439500000000002,-12.777,Repository_LR,15,15,0.7022222222222222,0.7666666666666666,0.5,0.7666666666666666,0.7666666666666667,0.7333333333333333,0.8,12,3,4,11
C388,-13.108250000000002,-13.439500000000002,-12.777,ContactSeek_Top3_RF,15,15,0.8133333333333334,0.8,0.3787815241832133,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.8,12,3,2,13
C388,-13.108250000000002,-13.439500000000002,-12.777,ContactSeek_CCR_RF,15,15,0.5822222222222222,0.5666666666666667,0.6139570505399141,0.7,0.7,0.4666666666666667,0.9333333333333333,14,1,8,7
C388,-12.453500000000002,-12.777,-12.130000000000004,Total_CP_LR,14,16,0.25,0.48660714285714285,0.0,0.5,0.4666666666666667,1.0,0.0,0,16,0,14
C388,-12.453500000000002,-12.777,-12.130000000000004,Interface_CP_LR,14,16,0.5625,0.5892857142857143,0.5367591383689617,0.6473214285714286,0.6666666666666666,0.35714285714285715,0.9375,15,1,9,5
C388,-12.453500000000002,-12.777,-12.130000000000004,S4_S12_S24_LR,14,16,0.46875,0.5267857142857143,0.530364441368437,0.6473214285714286,0.6666666666666666,0.35714285714285715,0.9375,15,1,9,5
C388,-12.453500000000002,-12.777,-12.130000000000004,Repository_LR,14,16,0.7633928571428572,0.7678571428571428,0.5171140688533052,0.7991071428571428,0.8,0.7857142857142857,0.8125,13,3,3,11
C388,-12.453500000000002,-12.777,-12.130000000000004,ContactSeek_Top3_RF,14,16,0.8080357142857142,0.7946428571428572,0.45290867567716153,0.8303571428571428,0.8333333333333334,0.7857142857142857,0.875,14,2,3,11
C388,-12.453500000000002,-12.777,-12.130000000000004,ContactSeek_CCR_RF,14,16,0.6785714285714286,0.6607142857142857,0.5344408147506774,0.7232142857142857,0.7333333333333333,0.5714285714285714,0.875,14,2,6,8
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,Total_CP_LR,13,17,0.4660633484162896,0.583710407239819,0.5047415220577278,0.6131221719457014,0.6333333333333333,0.46153846153846156,0.7647058823529411,13,4,7,6
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,Interface_CP_LR,13,17,0.5520361990950227,0.6425339366515836,0.5082387207925908,0.6719457013574661,0.7,0.46153846153846156,0.8823529411764706,15,2,7,6
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,S4_S12_S24_LR,13,17,0.5927601809954751,0.49547511312217196,0.5137514699287936,0.6719457013574661,0.7,0.46153846153846156,0.8823529411764706,15,2,7,6
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,Repository_LR,13,17,0.7149321266968326,0.7669683257918551,0.5,0.7669683257918551,0.7666666666666667,0.7692307692307693,0.7647058823529411,13,4,3,10
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,ContactSeek_Top3_RF,13,17,0.7601809954751132,0.7782805429864253,0.5,0.7782805429864253,0.8,0.6153846153846154,0.9411764705882353,16,1,5,8
C388,-11.504250000000006,-12.130000000000004,-10.87850000000001,ContactSeek_CCR_RF,13,17,0.6561085972850679,0.7194570135746606,0.5216816789223748,0.748868778280543,0.7666666666666667,0.6153846153846154,0.8823529411764706,15,2,5,8
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,Total_CP_LR,11,19,0.44976076555023925,0.569377990430622,0.49461216160508786,0.5885167464114832,0.6,0.5454545454545454,0.631578947368421,12,7,5,6
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,Interface_CP_LR,11,19,0.4832535885167464,0.6483253588516746,0.5,0.6483253588516746,0.7,0.45454545454545453,0.8421052631578947,16,3,6,5
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,S4_S12_S24_LR,11,19,0.4832535885167464,0.49043062200956933,0.5408564153805417,0.6818181818181819,0.7666666666666667,0.36363636363636365,1.0,19,0,7,4
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,Repository_LR,11,19,0.569377990430622,0.5885167464114832,0.4745087345783731,0.6339712918660287,0.6333333333333333,0.6363636363636364,0.631578947368421,12,7,4,7
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,ContactSeek_Top3_RF,11,19,0.7799043062200957,0.69377990430622,0.2874395619997562,0.770334928229665,0.7333333333333333,0.9090909090909091,0.631578947368421,12,7,1,10
C388,-8.526250000000012,-9.64500000000001,-7.407500000000013,ContactSeek_CCR_RF,11,19,0.5933014354066986,0.6483253588516746,0.4555270872614333,0.6674641148325359,0.7,0.5454545454545454,0.7894736842105263,15,4,5,6
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,Total_CP_LR,10,20,0.25,0.42500000000000004,0.4965704264937001,0.5,0.5333333333333333,0.4,0.6,12,8,6,4
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,Interface_CP_LR,10,20,0.475,0.575,0.5251291329122595,0.65,0.7333333333333333,0.4,0.9,18,2,6,4
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,S4_S12_S24_LR,10,20,0.43500000000000005,0.42500000000000004,0.5333248995095072,0.675,0.7666666666666667,0.4,0.95,19,1,6,4
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,Repository_LR,10,20,0.515,0.55,0.4880528838751687,0.6,0.6,0.6,0.6,12,8,4,6
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,ContactSeek_Top3_RF,10,20,0.745,0.75,0.5,0.75,0.8,0.6,0.9,18,2,4,6
C388,-7.097000000000008,-7.407500000000013,-6.786500000000004,ContactSeek_CCR_RF,10,20,0.6749999999999998,0.65,0.3901608626342572,0.7749999999999999,0.8,0.7,0.85,17,3,3,7
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,Total_CP_LR,9,21,0.48677248677248675,0.5555555555555556,0.5102165249030728,0.626984126984127,0.7,0.4444444444444444,0.8095238095238095,17,4,5,4
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,Interface_CP_LR,9,21,0.566137566137566,0.6031746031746031,0.5302362235073603,0.6507936507936507,0.7333333333333333,0.4444444444444444,0.8571428571428571,18,3,5,4
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,S4_S12_S24_LR,9,21,0.30158730158730157,0.3571428571428571,0.5167223985147562,0.5714285714285714,0.6666666666666666,0.3333333333333333,0.8095238095238095,17,4,6,3
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,Repository_LR,9,21,0.5291005291005291,0.5634920634920635,0.6492868867476989,0.6428571428571428,0.7666666666666667,0.3333333333333333,0.9523809523809523,20,1,6,3
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,ContactSeek_Top3_RF,9,21,0.6190476190476191,0.5714285714285714,0.6879657989307488,0.6428571428571428,0.7666666666666667,0.3333333333333333,0.9523809523809523,20,1,6,3
C388,-6.745500000000007,-6.786500000000004,-6.70450000000001,ContactSeek_CCR_RF,9,21,0.5396825396825398,0.5952380952380952,0.6033124070027596,0.6666666666666666,0.8,0.3333333333333333,1.0,21,0,6,3
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,Total_CP_LR,8,22,0.5681818181818181,0.5909090909090908,0.4798961086590379,0.6704545454545454,0.6333333333333333,0.75,0.5909090909090909,13,9,2,6
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,Interface_CP_LR,8,22,0.5852272727272727,0.6363636363636364,0.5470304668932506,0.6818181818181819,0.7666666666666667,0.5,0.8636363636363636,19,3,4,4
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,S4_S12_S24_LR,8,22,0.0,0.0,0.0,0.5,0.26666666666666666,1.0,0.0,0,22,0,8
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,Repository_LR,8,22,0.49431818181818177,0.5454545454545454,0.6390475736117796,0.6193181818181819,0.7333333333333333,0.375,0.8636363636363636,19,3,5,3
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,ContactSeek_Top3_RF,8,22,0.5227272727272727,0.6193181818181819,0.6215164108708102,0.6647727272727273,0.8,0.375,0.9545454545454546,21,1,5,3
C388,-6.311000000000007,-6.70450000000001,-5.917500000000004,ContactSeek_CCR_RF,8,22,0.5568181818181818,0.7045454545454546,0.5,0.7045454545454546,0.8,0.5,0.9090909090909091,20,2,4,4
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,Total_CP_LR,6,24,0.6666666666666667,0.6875,0.5309977499682701,0.75,0.8,0.6666666666666666,0.8333333333333334,20,4,2,4
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,Interface_CP_LR,6,24,0.6944444444444443,0.7291666666666666,0.603003218768858,0.7708333333333333,0.8333333333333334,0.6666666666666666,0.875,21,3,2,4
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,S4_S12_S24_LR,6,24,0.5277777777777778,0.47916666666666663,0.573505636557238,0.6041666666666666,0.7666666666666667,0.3333333333333333,0.875,21,3,4,2
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,Repository_LR,6,24,0.611111111111111,0.7083333333333333,0.5709510780730386,0.7708333333333333,0.8333333333333334,0.6666666666666666,0.875,21,3,2,4
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,ContactSeek_Top3_RF,6,24,0.6527777777777778,0.7291666666666667,0.5,0.7291666666666667,0.8666666666666667,0.5,0.9583333333333334,23,1,3,3
C388,-4.262000000000008,-4.777000000000001,-3.747000000000014,ContactSeek_CCR_RF,6,24,0.6805555555555556,0.8125,0.5,0.8125,0.9,0.6666666666666666,0.9583333333333334,23,1,2,4
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,Total_CP_LR,5,25,0.6000000000000001,0.64,0.5241564335850835,0.7,0.7666666666666667,0.6,0.8,20,5,2,3
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,Interface_CP_LR,5,25,0.624,0.7,0.5,0.7,0.7666666666666667,0.6,0.8,20,5,2,3
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,S4_S12_S24_LR,5,25,0.608,0.54,0.6079318461127441,0.66,0.8333333333333334,0.4,0.92,23,2,3,2
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,Repository_LR,5,25,0.5519999999999999,0.6799999999999999,0.5,0.6799999999999999,0.7333333333333333,0.6,0.76,19,6,2,3
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,ContactSeek_Top3_RF,5,25,0.7280000000000001,0.72,0.42161479165481813,0.8200000000000001,0.8333333333333334,0.8,0.84,21,4,1,4
C388,-3.133500000000012,-3.747000000000014,-2.5200000000000102,ContactSeek_CCR_RF,5,25,0.592,0.76,0.5677348930750767,0.78,0.9,0.6,0.96,24,1,2,3
C871,-55.0,-56.47599999999999,-50.258,Total_CP_LR,25,5,0.352,0.46,0.49844290473660435,0.52,0.6,0.64,0.4,2,3,9,16
