family,validation,model,threshold,balanced_accuracy,accuracy,precision,recall,specificity,TN,FP,FN,TP
retrained,mutation_group_out,CP3_RF,0.3122655918822504,0.5656565656565656,0.7096774193548387,0.7407407407407407,0.9090909090909091,0.2222222222222222,2,7,2,20
retrained,mutation_group_out,CP3_RF,0.33989092428450335,0.6212121212121212,0.7419354838709677,0.7692307692307693,0.9090909090909091,0.3333333333333333,3,6,2,20
retrained,mutation_group_out,CP3_RF,0.35224594153112476,0.5984848484848485,0.7096774193548387,0.76,0.8636363636363636,0.3333333333333333,3,6,3,19
retrained,mutation_group_out,CP3_RF,0.4173336920172901,0.5757575757575758,0.6774193548387096,0.75,0.8181818181818182,0.3333333333333333,3,6,4,18
retrained,mutation_group_out,CP3_RF,0.4821222154003242,0.6313131313131313,0.7096774193548387,0.782608695652174,0.8181818181818182,0.4444444444444444,4,5,4,18
retrained,mutation_group_out,CP3_RF,0.4924359176401134,0.6085858585858586,0.6774193548387096,0.7727272727272727,0.7727272727272727,0.4444444444444444,4,5,5,17
retrained,mutation_group_out,CP3_RF,0.4970500762346174,0.6641414141414141,0.7096774193548387,0.8095238095238095,0.7727272727272727,0.5555555555555556,5,4,5,17
retrained,mutation_group_out,CP3_RF,0.5,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP3_RF,0.5360839146184558,0.6414141414141414,0.6774193548387096,0.8,0.7272727272727273,0.5555555555555556,5,4,6,16
retrained,mutation_group_out,CP3_RF,0.5798326176505518,0.696969696969697,0.7096774193548387,0.8421052631578947,0.7272727272727273,0.6666666666666666,6,3,6,16
retrained,mutation_group_out,CP3_RF,0.5982076176505517,0.6742424242424242,0.6774193548387096,0.8333333333333334,0.6818181818181818,0.6666666666666666,6,3,7,15
retrained,mutation_group_out,CP3_RF,0.6108853064138735,0.6515151515151515,0.6451612903225806,0.8235294117647058,0.6363636363636364,0.6666666666666666,6,3,8,14
retrained,mutation_group_out,CP3_RF,0.6555546575627609,0.7070707070707071,0.6774193548387096,0.875,0.6363636363636364,0.7777777777777778,7,2,8,14
retrained,mutation_group_out,CP3_RF,0.7269610088768339,0.6843434343434344,0.6451612903225806,0.8666666666666667,0.5909090909090909,0.7777777777777778,7,2,9,13
retrained,mutation_group_out,CP3_RF,0.7660966607853164,0.6616161616161615,0.6129032258064516,0.8571428571428571,0.5454545454545454,0.7777777777777778,7,2,10,12
retrained,mutation_group_out,CP3_RF,0.7812927413977184,0.6388888888888888,0.5806451612903226,0.8461538461538461,0.5,0.7777777777777778,7,2,11,11
retrained,mutation_group_out,CP3_RF,0.7864874518509655,0.6161616161616161,0.5483870967741935,0.8333333333333334,0.45454545454545453,0.7777777777777778,7,2,12,10
retrained,mutation_group_out,CP3_RF,0.8092459551200231,0.5934343434343434,0.5161290322580645,0.8181818181818182,0.4090909090909091,0.7777777777777778,7,2,13,9
retrained,mutation_group_out,CP3_RF,0.8473358965877538,0.5707070707070707,0.4838709677419355,0.8,0.36363636363636365,0.7777777777777778,7,2,14,8
retrained,mutation_group_out,CP3_RF,0.9078311591989938,0.547979797979798,0.45161290322580644,0.7777777777777778,0.3181818181818182,0.7777777777777778,7,2,15,7
retrained,mutation_group_out,CP3_RF,0.9566998087703447,0.5252525252525253,0.41935483870967744,0.75,0.2727272727272727,0.7777777777777778,7,2,16,6
retrained,mutation_group_out,CP3_RF,0.9695127526944542,0.5025252525252525,0.3870967741935484,0.7142857142857143,0.22727272727272727,0.7777777777777778,7,2,17,5
retrained,mutation_group_out,CP3_RF,0.9851776509408607,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,mutation_group_out,CP3_RF,1.00000001,0.5,0.2903225806451613,0.0,0.0,1.0,9,0,22,0
retrained,mutation_group_out,CP_Interface6_LR,0.0,0.5,0.7096774193548387,0.7096774193548387,1.0,0.0,0,9,0,22
retrained,mutation_group_out,CP_Interface6_LR,0.1571270914748224,0.4772727272727273,0.6774193548387096,0.7,0.9545454545454546,0.0,0,9,1,21
retrained,mutation_group_out,CP_Interface6_LR,0.21461529670973556,0.45454545454545453,0.6451612903225806,0.6896551724137931,0.9090909090909091,0.0,0,9,2,20
retrained,mutation_group_out,CP_Interface6_LR,0.302928647530683,0.51010101010101,0.6774193548387096,0.7142857142857143,0.9090909090909091,0.1111111111111111,1,8,2,20
retrained,mutation_group_out,CP_Interface6_LR,0.40956584220533543,0.48737373737373735,0.6451612903225806,0.7037037037037037,0.8636363636363636,0.1111111111111111,1,8,3,19
retrained,mutation_group_out,CP_Interface6_LR,0.444311256060289,0.5429292929292929,0.6774193548387096,0.7307692307692307,0.8636363636363636,0.2222222222222222,2,7,3,19
retrained,mutation_group_out,CP_Interface6_LR,0.45932429610812314,0.5984848484848485,0.7096774193548387,0.76,0.8636363636363636,0.3333333333333333,3,6,3,19
retrained,mutation_group_out,CP_Interface6_LR,0.47381583476723266,0.5757575757575758,0.6774193548387096,0.75,0.8181818181818182,0.3333333333333333,3,6,4,18
retrained,mutation_group_out,CP_Interface6_LR,0.4786094274303565,0.6313131313131313,0.7096774193548387,0.782608695652174,0.8181818181818182,0.4444444444444444,4,5,4,18
retrained,mutation_group_out,CP_Interface6_LR,0.485187436485239,0.6085858585858586,0.6774193548387096,0.7727272727272727,0.7727272727272727,0.4444444444444444,4,5,5,17
retrained,mutation_group_out,CP_Interface6_LR,0.4937233256053367,0.5858585858585859,0.6451612903225806,0.7619047619047619,0.7272727272727273,0.4444444444444444,4,5,6,16
retrained,mutation_group_out,CP_Interface6_LR,0.49946867238923137,0.5631313131313131,0.6129032258064516,0.75,0.6818181818181818,0.4444444444444444,4,5,7,15
retrained,mutation_group_out,CP_Interface6_LR,0.5,0.5631313131313131,0.6129032258064516,0.75,0.6818181818181818,0.4444444444444444,4,5,7,15
retrained,mutation_group_out,CP_Interface6_LR,0.5053773439996772,0.6186868686868687,0.6451612903225806,0.7894736842105263,0.6818181818181818,0.5555555555555556,5,4,7,15
retrained,mutation_group_out,CP_Interface6_LR,0.5108901706223625,0.595959595959596,0.6129032258064516,0.7777777777777778,0.6363636363636364,0.5555555555555556,5,4,8,14
retrained,mutation_group_out,CP_Interface6_LR,0.5161222542392976,0.5732323232323233,0.5806451612903226,0.7647058823529411,0.5909090909090909,0.5555555555555556,5,4,9,13
retrained,mutation_group_out,CP_Interface6_LR,0.5238231630129244,0.5505050505050505,0.5483870967741935,0.75,0.5454545454545454,0.5555555555555556,5,4,10,12
retrained,mutation_group_out,CP_Interface6_LR,0.5351220808195166,0.606060606060606,0.5806451612903226,0.8,0.5454545454545454,0.6666666666666666,6,3,10,12
retrained,mutation_group_out,CP_Interface6_LR,0.544116000691061,0.5833333333333333,0.5483870967741935,0.7857142857142857,0.5,0.6666666666666666,6,3,11,11
retrained,mutation_group_out,CP_Interface6_LR,0.5454864091283167,0.5606060606060606,0.5161290322580645,0.7692307692307693,0.45454545454545453,0.6666666666666666,6,3,12,10
retrained,mutation_group_out,CP_Interface6_LR,0.5551916404873201,0.5378787878787878,0.4838709677419355,0.75,0.4090909090909091,0.6666666666666666,6,3,13,9
retrained,mutation_group_out,CP_Interface6_LR,0.5656364669354603,0.5151515151515151,0.45161290322580644,0.7272727272727273,0.36363636363636365,0.6666666666666666,6,3,14,8
retrained,mutation_group_out,CP_Interface6_LR,0.5687886049977164,0.49242424242424243,0.41935483870967744,0.7,0.3181818181818182,0.6666666666666666,6,3,15,7
retrained,mutation_group_out,CP_Interface6_LR,0.5739859659980737,0.46969696969696967,0.3870967741935484,0.6666666666666666,0.2727272727272727,0.6666666666666666,6,3,16,6
retrained,mutation_group_out,CP_Interface6_LR,0.5793254999048891,0.5252525252525253,0.41935483870967744,0.75,0.2727272727272727,0.7777777777777778,7,2,16,6
retrained,mutation_group_out,CP_Interface6_LR,0.5856196320445375,0.5808080808080808,0.45161290322580644,0.8571428571428571,0.2727272727272727,0.8888888888888888,8,1,16,6
retrained,mutation_group_out,CP_Interface6_LR,0.5937392585177832,0.5580808080808081,0.41935483870967744,0.8333333333333334,0.22727272727272727,0.8888888888888888,8,1,17,5
retrained,mutation_group_out,CP_Interface6_LR,0.6072756177616585,0.5353535353535354,0.3870967741935484,0.8,0.18181818181818182,0.8888888888888888,8,1,18,4
retrained,mutation_group_out,CP_Interface6_LR,0.6384729091237966,0.5126262626262625,0.3548387096774194,0.75,0.13636363636363635,0.8888888888888888,8,1,19,3
retrained,mutation_group_out,CP_Interface6_LR,0.667568568302189,0.4898989898989899,0.3225806451612903,0.6666666666666666,0.09090909090909091,0.8888888888888888,8,1,20,2
