model,C388_threshold,n_work,n_nonwork,objective,AUC,score_threshold,accuracy,balanced_accuracy,TP,TN,FP,FN,distance
CP_density3_LR,0.658155,10,21,accuracy,0.5047619047619047,0.7376157617765129,0.6774193548387096,0.5523809523809524,2.0,19.0,2.0,8.0,0.2376157617765129
CP_density3_LR,0.658155,10,21,balanced_accuracy,0.5047619047619047,0.6523740491237499,0.4838709677419355,0.5928571428571429,9.0,6.0,15.0,1.0,0.15237404912374986
CP_density3_LR,0.6625,9,22,accuracy,0.4696969696969697,0.7376157617765129,0.7096774193548387,0.5656565656565656,2.0,20.0,2.0,7.0,0.2376157617765129
CP_density3_LR,0.6625,9,22,balanced_accuracy,0.4696969696969697,0.6523740491237499,0.45161290322580644,0.5808080808080808,8.0,6.0,16.0,1.0,0.15237404912374986
CP_density3_LR,0.6721375,8,23,accuracy,0.48913043478260865,0.7376157617765129,0.7419354838709677,0.5815217391304348,2.0,21.0,2.0,6.0,0.2376157617765129
CP_density3_LR,0.6721375,8,23,balanced_accuracy,0.48913043478260865,0.7376157617765129,0.7419354838709677,0.5815217391304348,2.0,21.0,2.0,6.0,0.2376157617765129
CP_density3_LR,0.68299,7,24,accuracy,0.5773809523809523,0.7376157617765129,0.7741935483870968,0.6011904761904762,2.0,22.0,2.0,5.0,0.2376157617765129
CP_density3_LR,0.68299,7,24,balanced_accuracy,0.5773809523809523,0.6523740491237499,0.45161290322580644,0.6458333333333334,7.0,7.0,17.0,0.0,0.15237404912374986
CP_density3_LR,0.694275,6,25,accuracy,0.6399999999999999,0.7376157617765129,0.8064516129032258,0.6266666666666667,2.0,23.0,2.0,4.0,0.2376157617765129
CP_density3_LR,0.694275,6,25,balanced_accuracy,0.6399999999999999,0.6563912961629992,0.45161290322580644,0.66,6.0,8.0,17.0,0.0,0.15639129616299918
CP_density3_LR,0.7000000000000001,6,25,accuracy,0.6399999999999999,0.7376157617765129,0.8064516129032258,0.6266666666666667,2.0,23.0,2.0,4.0,0.2376157617765129
CP_density3_LR,0.7000000000000001,6,25,balanced_accuracy,0.6399999999999999,0.6563912961629992,0.45161290322580644,0.66,6.0,8.0,17.0,0.0,0.15639129616299918
CP_density3_LR,0.71301,5,26,accuracy,0.7153846153846154,0.7376157617765129,0.8387096774193549,0.6615384615384616,2.0,24.0,2.0,3.0,0.2376157617765129
CP_density3_LR,0.71301,5,26,balanced_accuracy,0.7153846153846154,0.6687341069560284,0.4838709677419355,0.6923076923076923,5.0,10.0,16.0,0.0,0.16873410695602842
CP_density3_LR,0.7343525000000001,4,27,accuracy,0.75,0.7376157617765129,0.8709677419354839,0.712962962962963,2.0,25.0,2.0,2.0,0.2376157617765129
CP_density3_LR,0.7343525000000001,4,27,balanced_accuracy,0.75,0.6953877319710267,0.7419354838709677,0.7453703703703703,3.0,20.0,7.0,1.0,0.19538773197102666
CP_density3_LR,0.7481175,3,28,accuracy,0.8809523809523809,0.7376157617765129,0.9032258064516129,0.7976190476190477,2.0,26.0,2.0,1.0,0.2376157617765129
CP_density3_LR,0.7481175,3,28,balanced_accuracy,0.8809523809523809,0.6953877319710267,0.7741935483870968,0.875,3.0,21.0,7.0,0.0,0.19538773197102666
CP_density3_LR,0.7500000000000001,3,28,accuracy,0.8809523809523809,0.7376157617765129,0.9032258064516129,0.7976190476190477,2.0,26.0,2.0,1.0,0.2376157617765129
CP_density3_LR,0.7500000000000001,3,28,balanced_accuracy,0.8809523809523809,0.6953877319710267,0.7741935483870968,0.875,3.0,21.0,7.0,0.0,0.19538773197102666
CP_density3_LR,0.773455,2,29,accuracy,0.8448275862068966,0.7567770765324516,0.9354838709677419,0.7327586206896552,1.0,28.0,1.0,1.0,0.25677707653245163
CP_density3_LR,0.773455,2,29,balanced_accuracy,0.8448275862068966,0.6953877319710267,0.7419354838709677,0.8620689655172413,2.0,21.0,8.0,0.0,0.19538773197102666
