site,label_threshold_pp,validation,family,model,policy,n_unique,n_predictions,BA,accuracy,precision,recall,specificity,TP,TN,FP,FN,AUC,AP
C871,-10,Position_group_out,Local_deltaCP,SVM_RBF,fixed_0.5,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.4714285714285714,0.7166501627027942
C871,-10,Position_group_out,Local_deltaCP,SVM_RBF,training_only_threshold,22,22,0.4,0.5454545454545454,0.631578947368421,0.8,0.0,12.0,0.0,7.0,3.0,0.4714285714285714,0.7166501627027942
C871,-10,Position_group_out,Local_deltaCP,nested_model_selection,training_only_threshold,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.2142857142857143,0.548416909028364
C871,-10,Position_group_out,Nested_all,nested_model_selection,training_only_threshold,22,22,0.3380952380952381,0.4090909090909091,0.5714285714285714,0.5333333333333333,0.14285714285714285,8.0,1.0,6.0,7.0,0.4380952380952381,0.7241829022943573
C871,-10,Position_group_out,Repository,ExtraTrees_depth2,fixed_0.5,22,22,0.43333333333333335,0.5909090909090909,0.65,0.8666666666666667,0.0,13.0,0.0,7.0,2.0,0.23809523809523814,0.5549563227736602
C871,-10,Position_group_out,Repository,ExtraTrees_depth2,training_only_threshold,22,22,0.44285714285714284,0.5,0.6428571428571429,0.6,0.2857142857142857,9.0,2.0,5.0,6.0,0.23809523809523814,0.5549563227736602
C871,-10,Position_group_out,Repository,GaussianNB,fixed_0.5,22,22,0.36666666666666664,0.5,0.6111111111111112,0.7333333333333333,0.0,11.0,0.0,7.0,4.0,0.4,0.6346568782095097
C871,-10,Position_group_out,Repository,GaussianNB,training_only_threshold,22,22,0.47619047619047616,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.2857142857142857,10.0,2.0,5.0,5.0,0.4,0.6346568782095097
C871,-10,Position_group_out,Repository,LDA_shrinkage,fixed_0.5,22,22,0.37142857142857144,0.45454545454545453,0.6,0.6,0.14285714285714285,9.0,1.0,6.0,6.0,0.33333333333333337,0.6801104863488764
C871,-10,Position_group_out,Repository,LDA_shrinkage,training_only_threshold,22,22,0.44285714285714284,0.5,0.6428571428571429,0.6,0.2857142857142857,9.0,2.0,5.0,6.0,0.33333333333333337,0.6801104863488764
